iteration,time,US-AK,US-AL,US-AR,US-AZ,US-CA,US-CO,US-CT,US-DC,US-DE,US-FL,US-GA,US-HI,US-IA,US-ID,US-IL,US-IN,US-KS,US-KY,US-LA,US-MA,US-MD,US-ME,US-MI,US-MN,US-MO,US-MS,US-MT,US-NC,US-ND,US-NE,US-NH,US-NJ,US-NM,US-NV,US-NY,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VA,US-VT,US-WA,US-WI,US-WV,US-WY
1,1/1/2012 12:00,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616
2,1/3/2012 12:00,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616
3,1/4/2012 12:00,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616
4,1/5/2012 12:00,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616
5,1/6/2012 12:00,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616
6,1/7/2012 12:00,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616
7,1/8/2012 12:00,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616
8,1/9/2012 12:00,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616
9,1/10/2012 12:00,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616
10,1/11/2012 12:00,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616,0,1,0.962365268,0.83691616
